,jobs,machines,numInd,numGen,makespan,to_matrix_percentage,elitismo,exec_time,instance,mutation,selection_method
0,512,16,100,100,98726.527993,0.3,10.0,27.129557847976685,512x16/u_s_hilo.0,0.0,roulette
1,512,16,100,100,97432.96251,0.3,10.0,26.356416940689087,512x16/u_s_hilo.0,10.0,roulette
2,512,16,100,100,96757.38565199998,0.3,10.0,26.43603205680847,512x16/u_s_hilo.0,20.0,roulette
3,512,16,100,100,96395.053956,0.3,10.0,26.998151779174805,512x16/u_s_hilo.0,30.0,roulette
4,512,16,100,100,100067.262634,0.3,20.0,26.080522060394287,512x16/u_s_hilo.0,0.0,roulette
5,512,16,100,100,97589.63806900002,0.3,20.0,27.28202486038208,512x16/u_s_hilo.0,10.0,roulette
6,512,16,100,100,97369.74945200002,0.3,20.0,27.89331078529358,512x16/u_s_hilo.0,20.0,roulette
7,512,16,100,100,97254.14659199998,0.3,20.0,27.996617078781128,512x16/u_s_hilo.0,30.0,roulette
8,512,16,100,100,100067.262634,0.3,30.0,26.35462594032288,512x16/u_s_hilo.0,0.0,roulette
9,512,16,100,100,97649.280149,0.3,30.0,26.68494486808777,512x16/u_s_hilo.0,10.0,roulette
10,512,16,100,100,97820.267039,0.3,30.0,26.846993923187256,512x16/u_s_hilo.0,20.0,roulette
11,512,16,100,100,97527.821931,0.3,30.0,26.492207765579224,512x16/u_s_hilo.0,30.0,roulette
12,512,16,100,100,4232487.234862,0.3,10.0,29.67770290374756,512x16/u_s_hihi.0,0.0,roulette
13,512,16,100,100,4178192.157227,0.3,10.0,30.02379488945008,512x16/u_s_hihi.0,10.0,roulette
14,512,16,100,100,4178192.157227,0.3,10.0,29.819539070129395,512x16/u_s_hihi.0,20.0,roulette
15,512,16,100,100,4165269.758788,0.3,10.0,30.41160488128662,512x16/u_s_hihi.0,30.0,roulette
16,512,16,100,100,4185369.878657,0.3,20.0,28.627766132354736,512x16/u_s_hihi.0,0.0,roulette
17,512,16,100,100,4179062.740478,0.3,20.0,28.81697487831116,512x16/u_s_hihi.0,10.0,roulette
18,512,16,100,100,4175014.707031,0.3,20.0,32.96553182601929,512x16/u_s_hihi.0,20.0,roulette
19,512,16,100,100,4171703.641112,0.3,20.0,34.199503898620605,512x16/u_s_hihi.0,30.0,roulette
20,512,16,100,100,4231460.266721999,0.3,30.0,28.71554589271545,512x16/u_s_hihi.0,0.0,roulette
21,512,16,100,100,4171703.641112,0.3,30.0,27.001142024993896,512x16/u_s_hihi.0,10.0,roulette
22,512,16,100,100,4194544.298827,0.3,30.0,26.791359901428223,512x16/u_s_hihi.0,20.0,roulette
23,512,16,100,100,4173544.130616001,0.3,30.0,26.54117703437805,512x16/u_s_hihi.0,30.0,roulette
24,512,16,100,100,128165.423217,0.3,10.0,31.34760093688965,512x16/u_s_lohi.0,0.0,roulette
25,512,16,100,100,125964.800017,0.3,10.0,31.605121850967407,512x16/u_s_lohi.0,10.0,roulette
26,512,16,100,100,127704.141711,0.3,10.0,31.69262886047364,512x16/u_s_lohi.0,20.0,roulette
27,512,16,100,100,125076.71298599998,0.3,10.0,32.10915017127991,512x16/u_s_lohi.0,30.0,roulette
28,512,16,100,100,125397.54077,0.3,20.0,30.59743571281433,512x16/u_s_lohi.0,0.0,roulette
29,512,16,100,100,125381.609318,0.3,20.0,30.35336709022522,512x16/u_s_lohi.0,10.0,roulette
30,512,16,100,100,125167.518574,0.3,20.0,29.918254137039185,512x16/u_s_lohi.0,20.0,roulette
31,512,16,100,100,126364.443114,0.3,20.0,29.887070894241333,512x16/u_s_lohi.0,30.0,roulette
32,512,16,100,100,126550.54418800004,0.3,30.0,28.24418592453003,512x16/u_s_lohi.0,0.0,roulette
33,512,16,100,100,149788.59375,0.3,30.0,28.05930185317993,512x16/u_s_lohi.0,10.0,roulette
34,512,16,100,100,126205.65574799996,0.3,30.0,27.969743251800537,512x16/u_s_lohi.0,20.0,roulette
35,512,16,100,100,125226.521484,0.3,30.0,28.21684193611145,512x16/u_s_lohi.0,30.0,roulette
36,512,16,100,100,3498.927116999999,0.3,10.0,30.971729278564453,512x16/u_s_lolo.0,0.0,roulette
37,512,16,100,100,3467.449646999998,0.3,10.0,31.218316078186035,512x16/u_s_lolo.0,10.0,roulette
38,512,16,100,100,3493.4505160000003,0.3,10.0,30.998850107193,512x16/u_s_lolo.0,20.0,roulette
39,512,16,100,100,3483.22082,0.3,10.0,31.37597107887268,512x16/u_s_lolo.0,30.0,roulette
40,512,16,100,100,3476.258299,0.3,20.0,29.34155797958374,512x16/u_s_lolo.0,0.0,roulette
41,512,16,100,100,3493.4505160000003,0.3,20.0,29.728131771087646,512x16/u_s_lolo.0,10.0,roulette
42,512,16,100,100,3493.4505160000003,0.3,20.0,29.472583055496216,512x16/u_s_lolo.0,20.0,roulette
43,512,16,100,100,3474.9232650000004,0.3,20.0,29.32506203651428,512x16/u_s_lolo.0,30.0,roulette
44,512,16,100,100,3495.1125,0.3,30.0,27.93324398994445,512x16/u_s_lolo.0,0.0,roulette
45,512,16,100,100,3470.5635990000005,0.3,30.0,26.95824098587036,512x16/u_s_lolo.0,10.0,roulette
46,512,16,100,100,3489.46523,0.3,30.0,27.168282985687256,512x16/u_s_lolo.0,20.0,roulette
47,512,16,100,100,3493.4505160000003,0.3,30.0,27.572918176651,512x16/u_s_lolo.0,30.0,roulette
48,512,16,100,100,74381.23025699999,0.3,10.0,33.70637798309326,512x16/u_i_hilo.0,0.0,roulette
49,512,16,100,100,73955.875487,0.3,10.0,33.82265305519104,512x16/u_i_hilo.0,10.0,roulette
50,512,16,100,100,73761.653824,0.3,10.0,37.60629415512085,512x16/u_i_hilo.0,20.0,roulette
51,512,16,100,100,73827.42582699998,0.3,10.0,38.53812384605408,512x16/u_i_hilo.0,30.0,roulette
52,512,16,100,100,74034.56955000001,0.3,20.0,32.814934968948364,512x16/u_i_hilo.0,0.0,roulette
53,512,16,100,100,73869.472793,0.3,20.0,32.50122714042664,512x16/u_i_hilo.0,10.0,roulette
54,512,16,100,100,73942.48708800001,0.3,20.0,31.894073009490967,512x16/u_i_hilo.0,20.0,roulette
55,512,16,100,100,73594.783345,0.3,20.0,31.83367705345153,512x16/u_i_hilo.0,30.0,roulette
56,512,16,100,100,74286.67469699998,0.3,30.0,29.303809881210327,512x16/u_i_hilo.0,0.0,roulette
57,512,16,100,100,74019.18289399998,0.3,30.0,29.39943504333496,512x16/u_i_hilo.0,10.0,roulette
58,512,16,100,100,73803.80368100002,0.3,30.0,29.56897687911988,512x16/u_i_hilo.0,20.0,roulette
59,512,16,100,100,73863.93995699998,0.3,30.0,29.909533977508545,512x16/u_i_hilo.0,30.0,roulette
60,512,16,100,100,3059976.236326,0.3,10.0,35.090994119644165,512x16/u_i_hihi.0,0.0,roulette
61,512,16,100,100,3039881.488281,0.3,10.0,35.159351110458374,512x16/u_i_hihi.0,10.0,roulette
